date,content,content_cleaned,hashtags,content_preprocessed,content_preprocessed_with_stopwords
2022-10-07 23:59:59+00:00,Is that allowed? lol,Is that allowed  lol,[],"['allow', 'lol']","['is', 'that', 'allowed', 'lol']"
2022-10-07 23:59:59+00:00,@w_terrence You have to paint your eyelids white to add some authenticity to her demonic look.,You have to paint your eyelids white to add some authenticity to her demonic look,[],"['paint', 'eyelid', 'white', 'add', 'authenticity', 'demonic', 'look']","['you', 'have', 'to', 'paint', 'your', 'eyelids', 'white', 'to', 'add', 'some', 'authenticity', 'to', 'her', 'demonic', 'look']"
2022-10-07 23:59:59+00:00,I'm CRYING AND SHAKING RN https://t.co/53JPPOwdVf,I m CRYING AND SHAKING RN,[],"['cry', 'shake', 'rn']","['i', 'm', 'crying', 'and', 'shaking', 'rn']"
2022-10-07 23:59:59+00:00,@yRedDognft @DegenToonz thanks! i been contemplating on blowing him up for a minute now!!!,thanks  i been contemplating on blowing him up for a minute now,[],"['thanks', 'contemplate', 'blow', 'minute']","['thanks', 'i', 'been', 'contemplating', 'on', 'blowing', 'him', 'up', 'for', 'a', 'minute', 'now']"
2022-10-07 23:59:59+00:00,Check out my class in #GranblueFantasy! https://t.co/FgiLwfWmUy,Check out my class in  GranblueFantasy,['GranblueFantasy'],"['check', 'class', 'granbluefantasy']","['check', 'out', 'my', 'class', 'in', 'granbluefantasy']"
2022-10-07 23:59:59+00:00,@dillonatm @sbsippys welcome to the new sips fammm 💜🫂,welcome to the new sips fammm  purple heart  people hugging,[],"['welcome', 'new', 'sip', 'fammm', 'purple', 'heart', 'people', 'hug']","['welcome', 'to', 'the', 'new', 'sips', 'fammm', 'purple', 'heart', 'people', 'hugging']"
2022-10-07 23:59:59+00:00,@JimScalpert @Tradovate amp is not bad,is not bad,[],['bad'],"['is', 'not', 'bad']"
2022-10-07 23:59:59+00:00,"➠easyJet Airbus A320-251N
20mls SW of Havant @ 38025ft ➶ heading N ↑ at 455mph. REG:G-UZHW CS:EZY69MN SQ:5551
08/10/2022 00:59:59",easyJet Airbus A   N  mls SW of Havant  ft heading N at  mph  REG G UZHW CS EZY MN SQ,[],"['easyjet', 'airbus', 'n', 'ml', 'sw', 'havant', 'ft', 'head', 'n', 'mph', 'reg', 'g', 'uzhw', 'c', 'ezy', 'mn', 'sq']","['easyjet', 'airbus', 'a', 'n', 'mls', 'sw', 'of', 'havant', 'ft', 'heading', 'n', 'at', 'mph', 'reg', 'g', 'uzhw', 'cs', 'ezy', 'mn', 'sq']"
2022-10-07 23:59:59+00:00,"🍓🌥️ Tag us the next time you're in!
#VantageCoffeeRoasters #Lemonade #CloudyDayPerks

Facebook: @VantageCoffeeRoasters
Instagram: @vantagecoffeeroasters https://t.co/Owe35ksmMt",strawberry  sun behind large cloud  Tag us the next time you re in   VantageCoffeeRoasters  Lemonade  CloudyDayPerks Facebook  Instagram,"['VantageCoffeeRoasters', 'Lemonade', 'CloudyDayPerks']","['strawberry', 'sun', 'behind', 'large', 'cloud', 'tag', 'u', 'next', 'time', 'vantagecoffeeroasters', 'lemonade', 'cloudydayperks', 'facebook', 'instagram']","['strawberry', 'sun', 'behind', 'large', 'cloud', 'tag', 'us', 'the', 'next', 'time', 'you', 're', 'in', 'vantagecoffeeroasters', 'lemonade', 'cloudydayperks', 'facebook', 'instagram']"
2022-10-07 23:59:59+00:00,@colin_dunlap Man. That’s loserville.,Man  Thats loserville,[],"['man', 'thats', 'loserville']","['man', 'thats', 'loserville']"
